primary_segment;cup;cig;title;category;region;province;municipality;value_eur;client;contractors;contractor_tax_codes;award_amount_eur;award_share_pct;award_weight;ratio_note;award_date;award_result;award_criteria;award_discount;admitted_offers;bidders_count;subcontracting;included_services;id_aggiudicazione;source_url
Impiantisti sottoservizi;F37J22000010007;B4E6F888E8;DIGITALIZZAZIONE DELLE RETI ED ALLA RIDUZIONE DELLE PERDITE IDRICHE  CONFERENZA TERRITORIALE N°2  TOSCANA;Ambiente / rifiuti / depurazione;TOSCANA;PISA;VICOPISANO;39690842.0;ACQUE SPA;SOCIETA' ING. MAGNANI S.R.L. (OPERATORE ECONOMICO MONOSOGGETTIVO);01107350470;463291.25;1.1672497398770225;Lotto / servizio significativo;Rapporto importo/valore coerente;2024-12-18;AGGIUDICATA;;0.0;;;false;;14443528;https://www.opencup.gov.it/portale/progetto/-/cup/F37J22000010007
Impiantisti sottoservizi;I48D20000740005;896261470B;IMPIANTO VALORIZZAZIONE FANGHI CON PRE ESSICCAMENTO TESTA IMPIANTO;Ambiente / rifiuti / depurazione;LOMBARDIA;MILANO;SESTO SAN GIOVANNI;41529696.0;CAP HOLDING S.P.A.;GIMI SERVICE S.R.L.;04060021211;462383.51;1.11338043505062;Lotto / servizio significativo;Rapporto importo/valore coerente;2022-01-19;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;9.0;2;3;false;SOLA ESECUZIONE;2086155;https://www.opencup.gov.it/portale/progetto/-/cup/I48D20000740005
Edilizia;F93G22000030001;A06A4CDC62;38 POLI CIVICI CULTURALI NEI COMUNI DELLAREA METROPOLITANA.;Riqualificazione urbana;LAZIO;ROMA;RIOFREDDO;40975000.0;CITTA' METROPOLITANA DI ROMA CAPITALE;RESTAURI EDILI MONUMENTALI ITALIA - S.R.L. IN BREVE R.E.M.I. SRL (MANDATARIA);09837061002;462169.13;1.1279295424039049;Lotto / servizio significativo;Rapporto importo/valore coerente;2025-05-05;AGGIUDICATA;;0.0;0;0;false;;2917630;https://www.opencup.gov.it/portale/progetto/-/cup/F93G22000030001
Lavori pubblici strade;F71B16000510001;B430F7BF37;S.S. N. 47 DELLA VALSUGANA;Infrastrutture / parcheggi;VENETO;VICENZA;BASSANO DEL GRAPPA;39324844.0;ANAS S.P.A.;COMUNE DI BASSANO DEL GRAPPA (OPERATORE ECONOMICO MONOSOGGETTIVO);00168480242;462049.68;1.1749561676582876;Lotto / servizio significativo;Rapporto importo/valore coerente;2007-02-01;AGGIUDICATA;;0.0;;;false;;13738688;https://www.opencup.gov.it/portale/progetto/-/cup/F71B16000510001
Edilizia;F93G22000030001;A06AD043D8;38 POLI CIVICI CULTURALI NEI COMUNI DELLAREA METROPOLITANA.;Riqualificazione urbana;LAZIO;ROMA;RIOFREDDO;40975000.0;CITTA' METROPOLITANA DI ROMA CAPITALE;GRUPPO ZETA COSTRUZIONI S.R.L.;03065600607;461042.06;1.125178913971934;Lotto / servizio significativo;Rapporto importo/valore coerente;2025-05-22;AGGIUDICATA;;0.0;0;0;false;;2917594;https://www.opencup.gov.it/portale/progetto/-/cup/F93G22000030001
Edilizia;I54J08000010009;5526085D97;PORTO DI AUGUSTA;Residenziale pubblico / ERS;SICILIA;SIRACUSA;AUGUSTA;38700000.0;AUTORITÀ DI SISTEMA PORTUALE DEL MARE DI SICILIA ORIENTALE;TECHNITAL S.P.A.;05139031008;460759.072;1.1905919173126616;Lotto / servizio significativo;Rapporto importo/valore coerente;2014-10-22;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIU' VANTAGGIOSA;20.0;1;3;false;SOLA ESECUZIONE;645343;https://www.opencup.gov.it/portale/progetto/-/cup/I54J08000010009
Impiantisti sottoservizi;F31I22000010006;94113793A4;EX SCALO RAVONE;Ambiente / rifiuti / depurazione;EMILIA-ROMAGNA;BOLOGNA;BOLOGNA;57889347.0;COMUNE DI BOLOGNA - BOLOGNA;NIGRO FRANCESCO (MANDANTE) | MAURO LUCIANO (MANDANTE) | S.B.ARCH.STUDIO BARGONE ARCHITETTI ASSOCIATI (MANDANTE) | PHOENIX ARCHEOLOGIA S.R.L. (MANDANTE) | MATE SOCIETA' COOPERATIVA (MANDATARIA);02612260543 | 03419611201 | 04142140377 | MRALCN57L12H703W | NGRFNC69D01H501I;459971.47;0.794570147768293;Affidamento minore;Rapporto importo/valore coerente;2023-01-23;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;50.3;4;4;true;SOLA ESECUZIONE;2400414;https://www.opencup.gov.it/portale/progetto/-/cup/F31I22000010006
Lavori pubblici strade;G67H19001090006;8959445FE4;ACCORDO QUADRO TRIENNALE PER L'ESECUZIONE DI LAVORI DI MANUTENZIONE STRAORDINARIA DELLE STRADE PROVINCIALI DELLA SICILIA.;Infrastrutture / parcheggi;SICILIA;TUTTE;TUTTI;45000000.0;REGIONE AUTONOMA DELLA SICILIA;CO.MIN. S.R.L. (MANDATARIA) | G.C. COSTRUZIONI S.R.L. (MANDANTE);01307850857 | 01815370851;459571.09;1.021269088888889;Lotto / servizio significativo;Rapporto importo/valore coerente;2020-02-20;AGGIUDICATA;;0.0;0;0;true;;2033316;https://www.opencup.gov.it/portale/progetto/-/cup/G67H19001090006
Lavori pubblici strade;H17B16000800005;774985242F;INFRASTRUTTURE CIVILI, STRADALI ED IMPIANTISTICHE PRESSO GLI AEROPORTI DI MILANO LINATE E MALPENSA;Infrastrutture / parcheggi;LOMBARDIA;VARESE;FERNO;40000000.0;SOCIETÀ PER AZIONI ESERCIZI AEROPORTUALI S.E.A.;GENCANTIERI S.P.A. (MANDATARIA) | CATARZI LEONARDO (MANDANTE) | EXECUTIVE ENGINEERING SRL (MANDANTE) | CEFLA SC (MANDANTE) | BETA PROGETTI (MANDANTE);00293150371 | 03908010485 | 04720480484 | 05310070965 | CTRLRD74R01D612D;458068.06;1.14517015;Lotto / servizio significativo;Rapporto importo/valore coerente;2018-12-14;AGGIUDICATA;;0.0;0;0;true;;1483313;https://www.opencup.gov.it/portale/progetto/-/cup/H17B16000800005
Edilizia;F93G22000030001;B88A453EE1;38 POLI CIVICI CULTURALI NEI COMUNI DELLAREA METROPOLITANA.;Riqualificazione urbana;LAZIO;ROMA;RIOFREDDO;40975000.0;CITTA' METROPOLITANA DI ROMA CAPITALE;ATLANTE SOCIETA' CONSORTILE PER AZIONI (OPERATORE ECONOMICO MONOSOGGETTIVO);14206491004;457878.11;1.117457254423429;Lotto / servizio significativo;Rapporto importo/valore coerente;2025-10-07;AGGIUDICATA;;0.0;;;false;;18027992;https://www.opencup.gov.it/portale/progetto/-/cup/F93G22000030001
Impiantisti sottoservizi;F37J22000010007;B29AFBA801;DIGITALIZZAZIONE DELLE RETI ED ALLA RIDUZIONE DELLE PERDITE IDRICHE  CONFERENZA TERRITORIALE N°2  TOSCANA;Ambiente / rifiuti / depurazione;TOSCANA;PISA;VICOPISANO;39690842.0;ACQUE SPA;GEOMAR SRL (OPERATORE ECONOMICO MONOSOGGETTIVO);01830400477;456504.58;1.1501509088670883;Lotto / servizio significativo;Rapporto importo/valore coerente;2022-09-06;AGGIUDICATA;;0.0;;;false;;12557719;https://www.opencup.gov.it/portale/progetto/-/cup/F37J22000010007
Impiantisti sottoservizi;I81D22000000006;B772B791BE;ACQUEDOTTO LUCANO SPA - RIDUZIONE DELLE PERDITE NELLE RETI DI DISTRIBUZIONE DELL'ACQUA POTABILE, MEDIANTE INTERVENTI DI DISTRETTUALIZZAZIONE, DIGITALIZZAZIONE E MONITORAGGIO, SMART METERING;Ambiente / rifiuti / depurazione;BASILICATA;MATERA;TURSI;49500000.0;ACQUEDOTTO LUCANO SPA;MAROTTOLI COSTRUZIONI E SERVIZI - S.R.L. (MANDATARIA) | MANCUSI S.P.A. (MANDANTE) | EDILIA COSTRUZIONI S.R.L. (MANDANTE);01468210768 | 01546720762 | 01730680764;454120.18;0.9174145050505049;Affidamento minore;Rapporto importo/valore coerente;2025-06-27;AGGIUDICATA;;0.0;;;false;;16946159;https://www.opencup.gov.it/portale/progetto/-/cup/I81D22000000006
Lavori pubblici strade;E71B04000030001;0094112FA9;S.P. EX S.S. N. 639: DEI LAGHI DI PUSIANO E DI GARLATE VARIANTE DI CISANO BERGAMASCO. PRIMO LOTTO STRALCIO;Infrastrutture / parcheggi;LOMBARDIA;BERGAMO;CISANO BERGAMASCO;40000000.0;AMMINISTRAZIONE PROVINCIALE DI BERGAMO;PRO ITER - PROGETTO INFRASTRUTTURE TERRITORIO - S.R.L. O PRO IT ER - S.R.L.;12688370159;452557.56;1.1313939;Lotto / servizio significativo;Rapporto importo/valore coerente;2008-04-16;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIU' VANTAGGIOSA;17.98;7;10;false;SOLA ESECUZIONE;64678;https://www.opencup.gov.it/portale/progetto/-/cup/E71B04000030001
Edilizia;F93G22000030001;B99B16E1D6;38 POLI CIVICI CULTURALI NEI COMUNI DELLAREA METROPOLITANA.;Riqualificazione urbana;LAZIO;ROMA;RIOFREDDO;40975000.0;CITTA' METROPOLITANA DI ROMA CAPITALE;DE FEO RESTAURI S.R.L. (OPERATORE ECONOMICO MONOSOGGETTIVO);16965911007;451456.77;1.101785893837706;Lotto / servizio significativo;Rapporto importo/valore coerente;2025-12-15;AGGIUDICATA;;0.0;;;false;;19083419;https://www.opencup.gov.it/portale/progetto/-/cup/F93G22000030001
Edilizia;F83I23000080001;89653519AF;MIGLIORAMENTO SISMICO DELLE STRUTTURE E RIQUALIFICAZIONE ENERGETICA DEI PARAMENTI ESTERNI DELLA SEDE DELLA REGIONE LAZIO;Riqualificazione urbana;LAZIO;ROMA;ROMA;45211202.0;REGIONE LAZIO;PLANIR S.R.L. (MANDANTE) | DOLFIN SERGIO (MANDANTE) | PROGEN S.R.L. (MANDATARIA) | SIDERCEM ITALIA S.R.L. (MANDANTE);01754820874 | 03284630831 | 04753140872 | DLFSRG60P12F158M;450788.72;0.997073070519116;Affidamento minore;Rapporto importo/valore coerente;2022-08-03;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;52.0;8;8;false;SOLA ESECUZIONE;2307246;https://www.opencup.gov.it/portale/progetto/-/cup/F83I23000080001
Edilizia;I95F22000760002;9558940ED1;REALIZZAZIONE DI UN EDIFICIO POLIFUNZIONALE NELLAREA OSPEDALIERA DI VIA GIUSTINIANI  PADOVA  FASE 2 MASTERPLAN - IN SOSTITUZIONE DELLEDIFICIO N. 30 (EX CUCINE) E PARZIALI RISTRUTTURAZIONI DEGLI EDIFICI ADIACENTI;Edilizia pubblica;VENETO;PADOVA;PADOVA;73436690.0;REGIONE VENETO AZIENDA OSPEDALE - UNIVERSITÀ PADOVA;CSPE S.R.L. (MANDATARIA) | BRYDEN WOOD TECHONOLOGY (MANDANTE) | F&M DIVISIONE IMPIANTI SRL (MANDANTE) | COZZI VALERIO (MANDANTE) | DENISE BORSOI (MANDANTE) | F&M INGEGNERIA SPA (MANDANTE) | SEMPER S.R.L. (MANDANTE) | RES ENGINEERING SRL (MANDANTE);02916640275 | 03305470548 | 03913740282 | 04489240277 | 05057650284 | 05586360488 | CZZVLR70C14E514Y | GB876892158;450196.789;0.6130406871551536;Affidamento minore;Rapporto importo/valore coerente;2023-06-23;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;42.0;4;4;true;SOLA ESECUZIONE;2629073;https://www.opencup.gov.it/portale/progetto/-/cup/I95F22000760002
Lavori pubblici strade;H17H21010150005;A0605ECFF5;AEROPORTI DI MILANO LINATE E MILANO MALPENSA;Infrastrutture / parcheggi;LOMBARDIA;MILANO;SEGRATE;40000000.0;SOCIETÀ PER AZIONI ESERCIZI AEROPORTUALI S.E.A.;GENCANTIERI S.P.A. (MANDATARIA) | CEFLA S.C. (MANDANTE) | CPL CONCORDIA SOCIETA' COOPERATIVA (MANDANTE);00154950364 | 00499791200 | 05310070965;450149.22;1.1253730499999999;Lotto / servizio significativo;Rapporto importo/valore coerente;2024-08-28;AGGIUDICATA;;0.0;0;0;true;;2835992;https://www.opencup.gov.it/portale/progetto/-/cup/H17H21010150005
